gene_name	description	receptor	carnival_activity.res	UNIPROT.res	final_score.res	method.res	discordant.res	mf.res	carnival_activity.sens	UNIPROT.sens	final_score.sens	method.sens	discordant.sens	mf.sens	uniprotswissprot
ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	NA	100	P52565	0.542638	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P52565
ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	NA	-100	Q9NZN5	-0.653377	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9NZN5
ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	NA	-100	Q92974-2;Q92974	-2.927198333	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q92974
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]	NA	100	Q15052	0.973743	PhosphoScore	FALSE	other	-100	Q15052	-0.878518	proteoscore;proteoscore	FALSE	other	Q15052
ARID3A	AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031]	NA	-100	Q99856	-2.56386	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q99856
ARMC10	armadillo repeat containing 10 [Source:HGNC Symbol;Acc:HGNC:21706]	NA	-100	Q8N2F6	-3.66678	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8N2F6
ARNT	aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]	y	-100	P27540	-0.710946	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P27540
ARPC1B	actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]	NA	100	O15143	1.08157	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O15143
ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	NA	-100	P49407	-1.18197	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P49407
ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	NA	100	P32121	2.98613	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P32121
ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	NA	-100	P15336	-2.277275	PhosphoScore	FALSE	tf	NA	NA	NA	NA	NA	NA	P15336
ATG9A	autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]	NA	-100	Q7Z3C6	-0.923347	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q7Z3C6
ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	NA	100	Q13315	NA	CARNIVAL	FALSE	kin	NA	NA	NA	NA	NA	NA	Q13315
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	NA	100	P05023	0.379567	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P05023
ATP7B	ATPase copper transporting beta [Source:HGNC Symbol;Acc:HGNC:870]	NA	-100	P35670	-1.65081	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P35670
ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	NA	-100	Q13535	-2.27395	PhosphoScore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q13535
AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	NA	100	Q96GD4	0.077989724	VIPER	FALSE	kin	NA	NA	NA	NA	NA	NA	Q96GD4
AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	NA	100	O15169	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	O15169
BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	NA	-100	O95817	-2.26373	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O95817
BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	NA	-100	Q9UQB8	-1.65609	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9UQB8
BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	NA	100	Q16611	2.05648	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q16611
BCAR1	"BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]"	NA	-100	P56945	-1.95466	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P56945
BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	NA	100	P10415	5.31703	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P10415
BCR	BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014]	NA	-100	P11274	-4.95175	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P11274
BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	NA	-100	P55957	-5.96235	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P55957
BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	NA	-100	Q13490	-1.50377	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q13490
BLM	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	NA	-100	P54132	-1.68648	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P54132
BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	NA	-100	P53004	-1.53477	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P53004
BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	y	-100	P36894	-0.313731094	VIPER	FALSE	kin	NA	NA	NA	NA	NA	NA	P36894
BRAF	"B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]"	NA	-100	P15056	-1.31128	PhosphoScore	FALSE	kin	NA	NA	NA	NA	NA	NA	P15056
BRIP1	BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]	NA	100	Q9BX63	0.824508	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9BX63
BTK	Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]	NA	100	Q06187	0.656484	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q06187
BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	NA	100	O43683	-0.048237034	VIPER	TRUE	kin	NA	NA	NA	NA	NA	NA	O43683
CAD	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]"	NA	100	P27708	0.49052	proteoscore	FALSE	kin	-100	P27708	-1.85611	PhosphoScore;PhosphoScore	FALSE	kin	P27708
CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	NA	100	P0DP23	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	P0DP23
CAMK1	calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]	NA	100	Q14012	NA	CARNIVAL	FALSE	kin	NA	NA	NA	NA	NA	NA	Q14012
CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	NA	100	Q8N5S9	NA	CARNIVAL	FALSE	kin	NA	NA	NA	NA	NA	NA	Q8N5S9
CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]	NA	-100	Q96RR4	-2.42351	PhosphoScore	FALSE	kin	NA	NA	NA	NA	NA	NA	Q96RR4
CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	NA	-100	P17655	-0.503386	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P17655
CAPZA1	capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488]	NA	-100	P52907	-0.285901	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P52907
CARD11	caspase recruitment domain family member 11 [Source:HGNC Symbol;Acc:HGNC:16393]	NA	-51	Q9BXL7	NA	CARNIVAL	FALSE	kin	NA	NA	NA	NA	NA	NA	Q9BXL7
CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	NA	100	Q9H257	0.442933	proteoscore	FALSE	other	-100	Q9H257	NA	CARNIVAL	FALSE	other	Q9H257
CARM1	coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]	NA	-100	Q86X55	-0.381794	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q86X55
CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	NA	100	P42574	1.88616	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P42574
CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	NA	-100	P55212	-1.46911	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P55212
CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	NA	100	P55210	3.75325	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P55210
CAST	calpastatin [Source:HGNC Symbol;Acc:HGNC:1515]	NA	-100	P20810	-5.42364	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P20810
CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	NA	-100	P04040	-0.528025	proteoscore	FALSE	other	100	P04040	0.722438	proteoscore;proteoscore	FALSE	other	P04040
CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	NA	-100	Q03135	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	Q03135
CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	NA	-100	Q13191	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	Q13191
CC2D1A	coiled-coil and C2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:30237]	NA	-100	Q6P1N0	-3.39664	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q6P1N0
CCAR2	cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:23360]	NA	-100	Q8N163	-0.739239	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8N163
CCDC50	coiled-coil domain containing 50 [Source:HGNC Symbol;Acc:HGNC:18111]	NA	-100	Q8IVM0	-2.75635	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8IVM0
CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	NA	-100	Q3V6T2	-2.0602	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q3V6T2
CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	NA	-100	O60563	-0.385219	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O60563
CCNY	cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354]	NA	-100	Q8ND76	-0.837452	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q8ND76
CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	NA	100	P30307	1.33624	PhosphoScore	FALSE	phos	NA	NA	NA	NA	NA	NA	P30307
CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	NA	-100	P30260	-0.910259	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P30260
CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	NA	-100	P60953-1;P60953	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	P60953
CDK3	cyclin dependent kinase 3 [Source:HGNC Symbol;Acc:HGNC:1772]	NA	-100	Q00526	-2.674748798	VIPER	FALSE	kin	NA	NA	NA	NA	NA	NA	Q00526
CDK9	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	NA	100	P50750	-0.05795233	VIPER	TRUE	kin	NA	NA	NA	NA	NA	NA	P50750
CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	NA	100	P38936	0.793689	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P38936
CDT1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	NA	-100	Q9H211	-0.36147	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9H211
CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	NA	-100	P49715	NA	CARNIVAL	FALSE	tf	NA	NA	NA	NA	NA	NA	P49715
CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	NA	100	P17676	NA	CARNIVAL	FALSE	tf	-100	P17676	NA	CARNIVAL	FALSE	tf	P17676
CENPU	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]	NA	-100	Q71F23	-1.6264	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q71F23
CEP55	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	NA	-100	Q53EZ4	-2.768165	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q53EZ4
CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	NA	100	P23528	0.672926	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P23528
CHD2	chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]	NA	-100	O14647	-0.536645	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O14647
CHN2	chimerin 2 [Source:HGNC Symbol;Acc:HGNC:1944]	NA	100	P52757	1.29516	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P52757
CIITA	class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]	NA	-100	P33076	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	P33076
CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	NA	-100	P30622-2;P30622	-0.630165	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P30622
CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	NA	-100	Q9HAW4	-1.26398	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9HAW4
CRBN	cereblon [Source:HGNC Symbol;Acc:HGNC:30185]	NA	100	Q96SW2	NA	CARNIVAL	FALSE	other	NA	NA	NA	NA	NA	NA	Q96SW2
CREB1	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]	NA	100	P16220-1;P16220	0.593056	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P16220
CRK	"CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]"	NA	-100	P46108	-3.04616	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	P46108
CRKL	"CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]"	NA	100	P46109	-2.83843	proteoscore	TRUE	other	NA	NA	NA	NA	NA	NA	P46109
CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	NA	100	P41240	0.94137	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P41240
CSNK1A1	casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]	NA	-100	P48729	0.237537	proteoscore	TRUE	kin	100	P48729	NA	CARNIVAL	FALSE	kin	P48729
CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	NA	-100	P48730	1.9035060258577048	VIPER	TRUE	kin	NA	NA	NA	NA	NA	NA	P48730
CSNK2A1	casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]	NA	-100	P68400	-0.201571655	VIPER	FALSE	kin	100	P68400	2.0566164367991164	VIPER;VIPER	FALSE	kin	P68400
CSNK2B	casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]	NA	-100	P67870	-1.12304	proteoscore	FALSE	kin	NA	NA	NA	NA	NA	NA	P67870
CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	NA	100	P21291	0.827505	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P21291
CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	NA	-100	O60716	-3.325755	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	O60716
CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]	NA	-100	Q14247	-5.38627	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q14247
CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	NA	-100	Q13618	0.170856	proteoscore	TRUE	other	NA	NA	NA	NA	NA	NA	Q13618
CULLIN4_RBX1_DDB1	NA	NA	100	SIGNOR-C119	NA	CARNIVAL	FALSE	complex	-100	SIGNOR-C119	NA	CARNIVAL	FALSE	complex	NA
CULLIN_1_RBX1_SKP1	NA	NA	-100	SIGNOR-C529	NA	CARNIVAL	FALSE	complex	NA	NA	NA	NA	NA	NA	NA
CYCLINE_CDK2	NA	NA	-100	SIGNOR-C16	NA	CARNIVAL	FALSE	complex	NA	NA	NA	NA	NA	NA	NA
CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	NA	-100	Q9NQC7	-1.80204	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9NQC7
DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	NA	-100	P98082	-2.28028	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P98082
DAP	death associated protein [Source:HGNC Symbol;Acc:HGNC:2672]	NA	100	P51397	1.89681	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	P51397
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	NA	100	Q9UN19	4.5425	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9UN19
DAXX	death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]	NA	-100	Q9UER7	-2.54564	PhosphoScore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q9UER7
DCK	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	NA	-100	P27707	-3.10448	PhosphoScore	FALSE	kin	NA	NA	NA	NA	NA	NA	P27707
DDX3X	DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]	NA	100	O00571	0.607049	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O00571
DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	NA	100	P17844	0.311144	proteoscore	FALSE	other	-100	P17844	-0.987941	proteoscore;proteoscore	FALSE	other	P17844
DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	NA	-100	P17661	-1.07832	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P17661
DHODH	dihydroorotate dehydrogenase (quinone) [Source:HGNC Symbol;Acc:HGNC:2867]	NA	100	Q02127	0.996055	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q02127
DHX9	DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]	NA	-100	Q08211	-1.20353	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q08211
DLK1	delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]	NA	-100	P80370	-1.93002	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P80370
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	NA	-100	P25685	-0.951614	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	P25685
DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	NA	-100	Q05193	-1.43731	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q05193
DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	NA	100	P50570	-0.74043	proteoscore	TRUE	other	NA	NA	NA	NA	NA	NA	P50570
DNMT1	DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976]	NA	100	P26358-2;P26358	0.887995	proteoscore	FALSE	other	-100	P26358-2;P26358	-0.861197	proteoscore;proteoscore	FALSE	other	P26358
DNMT3A	DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]	NA	100	Q9Y6K1	3.39343	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	Q9Y6K1
DOCK7	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]	NA	-100	Q96N67	-2.57724	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q96N67
DOK1	docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990]	NA	100	Q99704	1.03055	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q99704
DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	NA	100	Q16555;NP_001184222	3.32009	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q16555
DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	NA	100	O14641	0.580107	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O14641
DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]	NA	-100	Q13409	-0.416203	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q13409
DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	NA	-100	Q9Y6G9	-0.541965	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9Y6G9
DYNLL1	dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]	NA	-100	P63167	-0.728901	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P63167
