gene_name	Names	class	Type	final_score.ima	final_score.res	Difference.SENS.Ima_SENS.CTRL	Difference.RES.CTRL_SENS.CTRL	C..method.res	C..GOBP.slim.name_	C..KEGG.name_	T..UNIPROT.ima	T..mf	T..method.ima	T..UNIPROT.res	N..Size	N..P.value	N..Benj..Hoch..FDR	combined_score.ima	combined_score.res
CDC7	cell cycle	all_down	GOBP slim name	-1.06043	-0.308235	-0.119064	-0.0959194	VIPER	biological regulation;biosynthetic process;cell cycle;cell division;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;DNA metabolic process;DNA recombination;DNA repair;DNA replication;endocytosis;establishment of localization;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;metabolic process;mitotic cell cycle;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;peptidyl-amino acid modification;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of cell cycle;regulation of DNA metabolic process;regulation of mitotic cell cycle;response to DNA damage stimulus;response to stimulus;response to stress;transport;vesicle-mediated transport	Cell cycle;Cell cycle - yeast;Meiosis - yeast	O00311	kin	proteoscore	O00311	1227	9.05768e-9	1.25902e-6	0.12625903752	0.029565716258999997
CDC7	cell division	all_down	GOBP slim name	-1.06043	-0.308235	-0.151235	-0.084733	VIPER	biological regulation;biosynthetic process;cell cycle;cell division;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;DNA metabolic process;DNA recombination;DNA repair;DNA replication;endocytosis;establishment of localization;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;metabolic process;mitotic cell cycle;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;peptidyl-amino acid modification;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of cell cycle;regulation of DNA metabolic process;regulation of mitotic cell cycle;response to DNA damage stimulus;response to stimulus;response to stress;transport;vesicle-mediated transport	Cell cycle;Cell cycle - yeast;Meiosis - yeast	O00311	kin	proteoscore	O00311	659	7.88207e-7	2.73902e-5	0.16037413105	0.026117676255
CDC7	DNA replication	all_down	GOBP slim name	-1.06043	-0.308235	-0.0395875	-0.133507	VIPER	biological regulation;biosynthetic process;cell cycle;cell division;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;DNA metabolic process;DNA recombination;DNA repair;DNA replication;endocytosis;establishment of localization;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;metabolic process;mitotic cell cycle;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;peptidyl-amino acid modification;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of cell cycle;regulation of DNA metabolic process;regulation of mitotic cell cycle;response to DNA damage stimulus;response to stimulus;response to stress;transport;vesicle-mediated transport	Cell cycle;Cell cycle - yeast;Meiosis - yeast	O00311	kin	proteoscore	O00311	481	3.85004e-4	0.00289273	0.041979772624999995	0.041151530145
CDC7	mitotic cell cycle	all_down	GOBP slim name	-1.06043	-0.308235	-0.164848	-0.0926452	VIPER	biological regulation;biosynthetic process;cell cycle;cell division;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;DNA metabolic process;DNA recombination;DNA repair;DNA replication;endocytosis;establishment of localization;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;metabolic process;mitotic cell cycle;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;peptidyl-amino acid modification;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of cell cycle;regulation of DNA metabolic process;regulation of mitotic cell cycle;response to DNA damage stimulus;response to stimulus;response to stress;transport;vesicle-mediated transport	Cell cycle;Cell cycle - yeast;Meiosis - yeast	O00311	kin	proteoscore	O00311	884	5.54953e-10	1.54277e-7	0.17480976464	0.028556493221999997
CDC7	regulation of mitotic cell cycle	all_down	GOBP slim name	-1.06043	-0.308235	-0.110904	-0.0479277	VIPER	biological regulation;biosynthetic process;cell cycle;cell division;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;DNA metabolic process;DNA recombination;DNA repair;DNA replication;endocytosis;establishment of localization;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;metabolic process;mitotic cell cycle;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;peptidyl-amino acid modification;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of cell cycle;regulation of DNA metabolic process;regulation of mitotic cell cycle;response to DNA damage stimulus;response to stimulus;response to stress;transport;vesicle-mediated transport	Cell cycle;Cell cycle - yeast;Meiosis - yeast	O00311	kin	proteoscore	O00311	600	8.21438e-4	0.00518999	0.11760592872	0.014772994609499998
CDK10	regulation of mitotic cell cycle	all_down	GOBP slim name	-2.0314067	-0.067126	-0.110904	-0.0479277	VIPER	biological regulation;regulation of cell cycle;regulation of mitotic cell cycle	NA	Q15131	kin	VIPER	Q15131	600	8.21438e-4	0.00518999	0.22529112865679998	0.0032171947902
CHUK	B cell receptor signaling pathway	tardive	KEGG name	-0.015877792	0.0351489	-0.205	0.0904322	VIPER	anatomical structure development;anatomical structure morphogenesis;biological regulation;cell differentiation;cell proliferation;cellular metabolic process;cellular process;developmental process;establishment of localization;immune system process;macromolecule metabolic process;macromolecule modification;metabolic process;multicellular organismal process;multi-organism process;muscle contraction;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of body fluid levels;response to biotic stimulus;response to chemical stimulus;response to drug;response to endogenous stimulus;response to oxidative stress;response to stimulus;response to stress;secretion;signal transduction;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Cytosolic DNA-sensing pathway;Epithelial cell signaling in Helicobacter pylori infection;Hepatitis C;MAPK signaling pathway;Measles;NOD-like receptor signaling pathway;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Prostate cancer;RIG-I-like receptor signaling pathway;Shigellosis;Small cell lung cancer;T cell receptor signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis	O15111	kin	VIPER	O15111	79	0.00683246	0.0368286	0.00325494736	0.00317859235458
CHUK	Chemokine signaling pathway	tardive	KEGG name	-0.015877792	0.0351489	-0.100452	0.208972	VIPER	anatomical structure development;anatomical structure morphogenesis;biological regulation;cell differentiation;cell proliferation;cellular metabolic process;cellular process;developmental process;establishment of localization;immune system process;macromolecule metabolic process;macromolecule modification;metabolic process;multicellular organismal process;multi-organism process;muscle contraction;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of body fluid levels;response to biotic stimulus;response to chemical stimulus;response to drug;response to endogenous stimulus;response to oxidative stress;response to stimulus;response to stress;secretion;signal transduction;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Cytosolic DNA-sensing pathway;Epithelial cell signaling in Helicobacter pylori infection;Hepatitis C;MAPK signaling pathway;Measles;NOD-like receptor signaling pathway;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Prostate cancer;RIG-I-like receptor signaling pathway;Shigellosis;Small cell lung cancer;T cell receptor signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis	O15111	kin	VIPER	O15111	101	0.00149031	0.0143199	0.0015949559619840002	0.007345135930799999
CHUK	MAPK signaling pathway	tardive	KEGG name	-0.015877792	0.0351489	-0.0766819	0.129906	VIPER	anatomical structure development;anatomical structure morphogenesis;biological regulation;cell differentiation;cell proliferation;cellular metabolic process;cellular process;developmental process;establishment of localization;immune system process;macromolecule metabolic process;macromolecule modification;metabolic process;multicellular organismal process;multi-organism process;muscle contraction;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of body fluid levels;response to biotic stimulus;response to chemical stimulus;response to drug;response to endogenous stimulus;response to oxidative stress;response to stimulus;response to stress;secretion;signal transduction;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Cytosolic DNA-sensing pathway;Epithelial cell signaling in Helicobacter pylori infection;Hepatitis C;MAPK signaling pathway;Measles;NOD-like receptor signaling pathway;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Prostate cancer;RIG-I-like receptor signaling pathway;Shigellosis;Small cell lung cancer;T cell receptor signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis	O15111	kin	VIPER	O15111	216	0.00236117	0.0193266	0.0012175392583648002	0.0045660530033999995
CHUK	NOD-like receptor signaling pathway	tardive	KEGG name	-0.015877792	0.0351489	-0.158299	0.267227	VIPER	anatomical structure development;anatomical structure morphogenesis;biological regulation;cell differentiation;cell proliferation;cellular metabolic process;cellular process;developmental process;establishment of localization;immune system process;macromolecule metabolic process;macromolecule modification;metabolic process;multicellular organismal process;multi-organism process;muscle contraction;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of body fluid levels;response to biotic stimulus;response to chemical stimulus;response to drug;response to endogenous stimulus;response to oxidative stress;response to stimulus;response to stress;secretion;signal transduction;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Cytosolic DNA-sensing pathway;Epithelial cell signaling in Helicobacter pylori infection;Hepatitis C;MAPK signaling pathway;Measles;NOD-like receptor signaling pathway;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Prostate cancer;RIG-I-like receptor signaling pathway;Shigellosis;Small cell lung cancer;T cell receptor signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis	O15111	kin	VIPER	O15111	56	0.00136558	0.0137179	0.0025134385958080004	0.009392735100299998
