gene_name	UNIPROT	difference	significant	logpval
AKAP13	Q12802	-1.89478	+	1.8485799999999999
AKAP17A	Q02040	0.205934	+	4.00305
AKAP8	O43823	0.245236	NA	0.70290399999999997
AKAP8L	Q9ULX6	-0.237735	NA	1.28434
AKAP9	Q99996	-0.846081	NA	0.34137899999999999
AKR1A1	P14550	-0.128666	NA	0.73944500000000002
AKR1B1	P15121	0.361175	NA	0.58021900000000004
AKR1C2	P52895	0.417589	+	2.5540500000000002
AKR1C3	P42330	1.56243	+	2.3413499999999998
AKR1E2	Q96JD6	0.583641	+	2.5268899999999999
AKR7A2	O43488	0.343949	+	2.9610500000000002
AKT1	P31749	-0.233241	NA	1.3022100000000001
AKT1S1	Q96B36	-2.04255	+	1.9674199999999999
AKT2	P31751	-0.502949	+	1.6434599999999999
ALAD	P13716	2.02896	+	5.9403100000000002
ALB	P02768	0.372886	NA	1.0229299999999999
ALDH16A1	Q8IZ83	-0.0345824	NA	0.16059499999999999
ALDH18A1	P54886	-0.226531	+	3.5478100000000001
ALDH1A1	P00352	1.15856	+	5.7726899999999999
ALDH1A2	O94788	0.713958	NA	0.178318
ALDH1B1	P30837	0.429672	+	1.9097999999999999
ALDH2	P05091	0.327291	NA	1.24631
ALDH3A2	P51648	-0.796332	NA	0.49690400000000001
ALDH3B1	P43353	1.11442	+	1.5249900000000001
ALDH4A1	P30038	0.375183	+	2.8955799999999998
ALDH5A1	P51649	0.497168	+	4.1775799999999998
ALDH6A1	Q02252	0.838352	+	6.5102099999999998
ALDH7A1	P49419	0.444325	+	5.9894699999999998
ALDH9A1	P49189	0.181125	NA	1.33291
ALDOA	P04075	-0.020314	NA	0.35553000000000001
ALDOC	P09972	0.17535	NA	0.73399599999999998
ALG1	Q9BT22	-0.0644977	NA	0.36577999999999999
ALG11	Q2TAA5	0.218949	NA	0.488514
ALG13	Q9NP73	-0.391246	NA	0.46009899999999998
ALG2	Q9H553	-0.602748	NA	0.62741100000000005
ALG3	Q92685	-0.638679	+	1.75284
ALG5	Q9Y673	-0.175271	NA	1.1088199999999999
ALG6	Q9Y672	0.526954	NA	0.88717900000000005
ALG8	Q9BVK2	-0.150862	NA	0.44117499999999998
ALG9	Q9H6U8	-0.0177572	NA	2.6720500000000001E-2
ALKBH1	Q13686	-0.17552	NA	0.32372099999999998
ALKBH2	Q6NS38	-0.607941	+	1.8573
ALKBH3	Q96Q83	-2.23798	+	2.9171499999999999
ALKBH4	Q9NXW9	0.346565	NA	0.26605400000000001
ALKBH5	Q6P6C2	0.483253	+	1.91509
ALKBH6	Q3KRA9	-0.556333	+	2.25162
ALKBH7	Q9BT30	-1.47522	+	2.9887600000000001
ALKBH8	Q96BT7	-0.266263	NA	0.59820099999999998
ALOX5	P09917	0.445891	NA	0.33213799999999999
ALOX5AP	P20292	0	NA	NaN
ALS2	Q96Q42	0.643898	+	1.2467999999999999
ALYREF	Q86V81	-0.585803	+	3.1789299999999998
AMBRA1	Q9C0C7	-0.516683	NA	1.07599
AMD1	P17707	-0.625656	NA	0.64769600000000005
AMDHD2	Q9Y303	0.21464	NA	0.27592
AMFR	Q9UKV5	-0.791169	+	3.1182500000000002
AMMECR1	Q9Y4X0	0.00286794	NA	6.0604700000000001E-3
AMOTL1	Q8IY63	0.357531	NA	0.62455700000000003
AMPD2	Q01433	-0.199526	+	3.4453900000000002
AMPD3	Q01432	0.602448	+	2.3311999999999999
ANAPC1	Q9H1A4	0.0507605	NA	0.45221299999999998
ANAPC10	Q9UM13	0.285257	NA	0.72885
ANAPC11	Q9NYG5	1.18922	NA	0.90516099999999999
ANAPC16	Q96DE5	-0.953933	NA	0.53997200000000001
ANAPC2	Q9UJX6	-0.239127	NA	2.0445199999999999
ANAPC4	Q9UJX5	0.221253	NA	1.9514
ANAPC5	Q9UJX4	-0.17698	NA	1.59622
ANAPC7	Q9UJX3	-0.191922	NA	2.2552500000000002
ANGEL1	Q9UNK9	-0.496444	NA	0.63485000000000003
ANGPTL6	Q8NI99	0	NA	NaN
ANK1	P16157	-0.194368	NA	2.9184700000000001
ANKFY1	Q9P2R3	0.291096	NA	1.2582
ANKHD1	Q8IWZ3	-0.543817	+	4.3063399999999996
ANKLE2	Q86XL3	-0.298264	NA	1.39008
ANKMY2	Q8IV38	-0.537845	NA	0.83370999999999995
ANKRD10	Q9NXR5	0.228837	NA	0.51992099999999997
ANKRD13A	Q8IZ07	0.550025	+	2.8218700000000001
ANKRD17	O75179	-0.841806	+	5.0316400000000003
ANKRD27	Q96NW4	0.166748	NA	1.4607000000000001
ANKRD28	O15084	-0.179868	NA	1.26336
ANKRD30A	Q9BXX3	-0.185521	NA	0.24534800000000001
ANKRD39	Q53RE8	0.328345	NA	0.24105799999999999
ANKRD44	Q8N8A2	0.198673	NA	0.17063700000000001
ANKRD49	Q8WVL7	-0.704893	+	1.5809500000000001
ANKRD52	Q8NB46	-0.929068	+	3.2607900000000001
ANKRD54	Q6NXT1	0.253585	NA	0.54306600000000005
ANKS1A	Q92625	-0.530453	+	2.8092299999999999
ANKS1B	Q7Z6G8	0	NA	NaN
ANKZF1	Q9H8Y5	0.141585	NA	2.13097
ANLN	Q9NQW6	0.0705726	NA	4.2093199999999997E-2
ANO10	Q9NW15	0.0403478	NA	0.16711799999999999
ANO6	Q4KMQ2	0.291886	+	2.2738100000000001
ANP32A	P39687	0.152245	NA	1.6346000000000001
ANP32B	Q92688	-0.0556109	NA	0.19822400000000001
ANP32E	Q9BTT0	0.456784	+	3.2526999999999999
ANPEP	P15144	0.385427	+	3.2279
ANTXR2	P58335	0.0775509	NA	5.8936799999999998E-2
ANXA1	P04083	-0.0473111	NA	0.39633400000000002
ANXA11	P50995	0.268886	+	2.1045199999999999
ANXA2	P07355	-0.132265	NA	0.367618
ANXA3	P12429	0	NA	NaN
ANXA4	P09525	0.307417	+	1.78257
ANXA5	P08758	0.014919	NA	4.1449800000000002E-2
ANXA6	P08133	0.156892	NA	0.88716200000000001
ANXA7	P20073	-0.0484307	NA	0.179975
AP1B1	Q10567	0.0835421	NA	0.79984599999999995
AP1G1	O43747	-0.0381896	NA	0.18388399999999999
AP1G2	O75843	-0.140652	NA	0.50677099999999997
AP1M1	Q9BXS5	-0.0613792	NA	0.75764799999999999
AP1S1	P61966	-0.133981	NA	1.10961
AP1S2	P56377	-0.0243833	NA	5.6533800000000002E-2
AP2A1	O95782	0.174764	NA	2.3469899999999999
AP2A2	O94973	0.107868	NA	0.46084000000000003
AP2B1	P63010	-0.123422	NA	1.82178
AP2M1	Q96CW1	0.00876546	NA	9.1078000000000006E-2
AP2S1	P53680	0.348615	NA	1.14476
AP3B1	O00203	-0.181065	NA	1.34649
AP3D1	O14617	-0.245275	NA	2.2894800000000002
AP3M1	Q9Y2T2	-0.0489719	NA	0.26965
AP3M2	P53677	-0.524315	+	1.7331399999999999
AP3S1	Q92572	-0.218455	NA	2.4937900000000002
AP3S2	P59780	0	NA	NaN
AP4B1	Q9Y6B7	0	NA	NaN
AP4M1	O00189	-2.01264	+	2.2334299999999998
AP4S1	Q9Y587	0.440194	+	1.3085500000000001
AP5B1	Q2VPB7	-0.218298	NA	0.42403299999999999
AP5M1	Q9H0R1	0.337254	+	1.6326000000000001
AP5S1	Q9NUS5	0.0816553	NA	7.4524400000000005E-2
AP5Z1	O43299	0.0113151	NA	3.8428799999999999E-2
APAF1	O14727	0.0462179	NA	2.10644E-2
APBA2	Q99767	-0.47572	+	1.63232
APBB1IP	Q7Z5R6	0.0816576	NA	0.35168899999999997
APC	P25054	-0.904939	+	1.9085700000000001
APEH	P13798	-0.0279286	NA	0.17044699999999999
APEX1	P27695	0.165647	NA	1.1436999999999999
API5	Q9BZZ5	0.313597	+	2.5204399999999998
APIP	Q96GX9	-0.38211	NA	1.3619699999999999
APLP2	Q06481	0.388633	NA	1.0605
APMAP	Q9HDC9	0.105647	NA	1.43381
APOB	P04114	-1.20767	+	1.7082599999999999
APOBEC3B	Q9UH17	-0.228493	NA	0.51206799999999997
APOBEC3C	Q9NRW3	0.316171	NA	0.55434399999999995
APOBEC3D	B2CML4	0.254847	NA	0.22645699999999999
APOBEC3F	Q8IUX4	0.19357	NA	0.31047599999999997
APOBEC3G	Q9HC16	-0.421226	NA	1.0069300000000001
APOBR	Q0VD83	-0.376675	+	1.5773900000000001
APOC1	P02654	0.638083	NA	0.61026499999999995
APOC3	P02656	2.69772	+	2.94048
APOE	P02649	0.056113	NA	0.27243400000000001
APOH	P02749	0.91814	+	1.2295700000000001
APOL1	O14791	0	NA	NaN
APOL2	Q9BQE5	-1.19424	+	3.2902800000000001
APOO	Q9BUR5	0.391911	+	2.1884700000000001
APOOL	Q6UXV4	0.281432	NA	0.90097899999999997
APPL1	Q9UKG1	-0.05563	NA	0.20180000000000001
APPL2	Q8NEU8	0.51739	NA	0.67447599999999996
APRT	P07741	0.307874	+	2.5142600000000002
APTX	Q7Z2E3	-0.00469089	NA	1.46242E-2
AQP3	Q92482	-2.00712	+	2.9897999999999998
AQR	O60306	-0.128284	NA	1.06799
ARAF	P10398	0.18294	NA	0.95446299999999995
ARAP1	Q96P48	-0.0252039	NA	8.0586500000000005E-2
ARAP3	Q8WWN8	-1.07356	NA	0.67292799999999997
ARCN1	P48444	-0.239057	NA	2.24526
ARF4	P18085	-0.436387	+	1.30602
ARF5	P84085	0.0359709	NA	7.6402300000000006E-2
ARF6	P62330	-0.104376	NA	0.33357199999999998
ARFGAP1	Q8N6T3	-0.178366	NA	1.92334
ARFGAP2	Q8N6H7	-0.830087	+	3.3069000000000002
ARFGAP3	Q9NP61	-0.584636	+	3.0491100000000002
ARFGEF1	Q9Y6D6	0.114936	NA	2.3490799999999998
ARFGEF2	Q9Y6D5	0.168571	NA	0.66376599999999997
ARFIP1	P53367	-0.012778	NA	5.5112899999999999E-2
ARFIP2	P53365	-2.24101	+	1.59134
ARFRP1	Q13795	-0.301952	NA	0.12504899999999999
ARG2	P78540	0.800197	+	4.6191899999999997
ARGLU1	Q9NWB6	-0.635205	+	1.8557300000000001
ARHGAP1	Q07960	0.0584571	NA	1.35988
ARHGAP10	A1A4S6	-0.461167	NA	0.39968700000000001
ARHGAP11A	Q6P4F7	-1.2956	+	1.3414900000000001
ARHGAP15	Q53QZ3	0.145612	NA	0.64139800000000002
ARHGAP17	Q68EM7	-0.017359	NA	9.2804700000000004E-2
ARHGAP18	Q8N392	0.252625	+	2.7703500000000001
ARHGAP19	Q14CB8	0.0714537	NA	5.65417E-2
ARHGAP21	Q5T5U3	-0.751163	+	1.2196199999999999
ARHGAP22	Q7Z5H3	-0.844833	+	2.9702199999999999
ARHGAP25	P42331	-0.124387	NA	0.201817
ARHGAP26	Q9UNA1	-0.246134	NA	0.21885299999999999
ARHGAP27	Q6ZUM4	-0.255524	NA	0.16714399999999999
ARHGAP30	Q7Z6I6	-0.518881	+	1.6609799999999999
ARHGAP35	Q9NRY4	-0.0884421	NA	0.33565800000000001
ARHGAP4	P98171	0.319768	+	2.1811199999999999
ARHGAP45	Q92619	-0.00475621	NA	9.0802499999999998E-3
ARHGAP6	O43182	0	NA	NaN
ARHGAP9	Q9BRR9	0.515966	+	1.68573
ARHGDIA	P52565	-1.01613	+	1.8290299999999999
ARHGDIB	P52566	0.00249076	NA	1.7346199999999999E-2
ARHGEF1	Q92888	0.069361	NA	0.77347100000000002
ARHGEF10	O15013	-0.103924	NA	0.13158700000000001
ARHGEF11	O15085	0.320988	NA	0.41949799999999998
ARHGEF12	Q9NZN5	-0.301251	NA	1.08934
ARHGEF18	Q6ZSZ5	-0.131881	NA	0.174818
ARHGEF2	Q92974	-0.274291	+	4.3297499999999998
ARHGEF6	Q15052	-0.485789	+	2.9028
ARHGEF7	Q14155	0.108042	NA	0.55916600000000005
ARID1A	O14497	0.0146396	NA	5.2255799999999998E-2
ARID1B	Q8NFD5	0.0381286	NA	0.25714799999999999
ARID2	Q68CP9	-0.0710042	NA	0.81512200000000001
ARID3A	Q99856	0.40594	+	1.9632700000000001
ARID3B	Q8IVW6	0.393122	NA	0.65572600000000003
ARID4A	P29374	1.01168	+	3.6535000000000002
ARID4B	Q4LE39	-0.0259945	NA	3.11793E-2
ARIH1	Q9Y4X5	0.0221775	NA	5.9277299999999998E-2
ARIH2	O95376	-0.030513	NA	0.12370299999999999
ARL1	P40616	-0.0560653	NA	0.12499399999999999
ARL14EP	Q8N8R7	-0.268504	NA	0.62255000000000005
ARL15	Q9NXU5	-0.578029	+	2.0962399999999999
ARL2	P36404	-0.54649	NA	1.1311899999999999
ARL2BP	Q9Y2Y0	1.39804	+	3.8946299999999998
ARL3	P36405	-0.0901077	NA	1.1038399999999999
ARL4A	P40617	-2.75051	+	4.2004299999999999
ARL5A	Q9Y689	1.22405	+	1.4134800000000001
ARL6	Q9H0F7	0.405524	NA	0.26235999999999998
ARL6IP1	Q15041	-0.302658	NA	0.82545000000000002
ARL6IP4	Q66PJ3	-0.550868	+	2.7204199999999998
ARL6IP5	O75915	0.269734	NA	1.7875799999999999
ARL6IP6	Q8N6S5	0.494282	+	1.99434
ARL8A	Q96BM9	0.427046	NA	1.1671899999999999
ARL8B	Q9NVJ2	0.300772	NA	1.5591299999999999
ARMC1	Q9NVT9	-0.211949	NA	1.46482
ARMC10	Q8N2F6	0.233718	NA	0.83509299999999997
ARMC5	Q96C12	-0.157135	NA	0.21571499999999999
ARMC6	Q6NXE6	-0.481766	+	2.4147099999999999
ARMC8	Q8IUR7	0.106415	NA	0.89276299999999997
ARMC9	Q7Z3E5	-0.436955	NA	0.35948799999999997
ARMCX3	Q9UH62	0.14003	NA	0.124101
ARMH3	Q5T2E6	0.559768	NA	1.00983
ARMT1	Q9H993	0.0881679	NA	0.34519499999999997
ARNT	P27540	-0.167831	NA	0.32985999999999999
ARPC1A	Q92747	-0.0510242	NA	0.17058699999999999
ARPC1B	O15143	-0.0345538	NA	0.51146599999999998
ARPC2	O15144	-0.240942	NA	1.41855
ARPC3	O15145	-0.263795	NA	1.0406899999999999
ARPC5	O15511	-0.170703	NA	1.82494
ARPC5L	Q9BPX5	-0.569709	+	2.5569500000000001
ARR3	P36575	0.23061	NA	0.56616999999999995
ARRB1	P49407	0.0366137	NA	9.1778100000000001E-2
ARRB2	P32121	0.866021	+	3.59599
ARRDC1	Q8N5I2	0.154435	NA	0.28135100000000002
ARSA	P15289	1.29336	+	2.5922399999999999
ARSB	P15848	0.2766	NA	0.90649199999999996
ARSK	Q6UWY0	0.0785377	NA	0.109319
ARV1	Q9H2C2	-1.60101	+	2.2155800000000001
ASAH1	Q13510	0.369347	+	3.03138
ASAP1	Q9ULH1	0.3844	NA	1.2457199999999999
ASB3	Q9Y575	0.0316378	NA	2.5083399999999999E-2
ASB6	Q9NWX5	-0.15669	NA	0.24751899999999999
ASCC1	Q8N9N2	0.176381	NA	0.54971199999999998
ASCC2	Q9H1I8	-0.111953	NA	1.13479
ASCC3	Q8N3C0	-0.113098	NA	1.3156600000000001
ASF1A	Q9Y294	0.120017	NA	0.75502999999999998
ASF1B	Q9NVP2	-0.69234	+	2.2682899999999999
ASH2L	Q9UBL3	0.450681	+	4.8922999999999996
ASL	P04424	0.219778	NA	1.0173000000000001
ASMTL	O95671	0.153024	NA	1.34633
ASNS	P08243	-2.80968	+	6.9344400000000004
ASPH	Q12797	0.214694	NA	1.92249
ASPSCR1	Q9BZE9	0.197612	NA	0.62043499999999996
ASTE1	Q2TB18	-2.42418	+	0.86030399999999996
ASXL1	Q8IXJ9	-0.299307	NA	1.0378799999999999
ASXL2	Q76L83	-1.18436	+	1.7959400000000001
ATAD1	Q8NBU5	-0.085325	NA	0.51563599999999998
ATAD2	Q6PL18	-0.637308	+	4.6006
ATAD2B	Q9ULI0	0.59872	+	1.7529699999999999
ATAD3A	Q9NVI7	0.35721	+	1.62182
ATAD3B	Q5T9A4	-0.184539	NA	0.46238699999999999
ATAD5	Q96QE3	-0.901562	+	1.7818700000000001
ATAT1	Q5SQI0	0.421918	NA	1.1466700000000001
ATE1	O95260	-0.0518434	NA	0.21087700000000001
ATF6	P18850	-1.2435	NA	0.74017699999999997
ATF6B	Q99941	-2.96534	+	2.6677499999999998
ATF7	P17544	-0.174034	NA	0.315888
ATF7IP	Q6VMQ6	-0.00492215	NA	6.2982799999999999E-3
ATG101	Q9BSB4	-1.12096	+	4.0123800000000003
ATG12	O94817	0.523473	NA	0.44180399999999997
ATG13	O75143	1.26474	NA	0.74316599999999999
ATG16L1	Q676U5	-0.859152	+	2.0263399999999998
ATG2A	Q2TAZ0	-0.135439	NA	0.240011
ATG2B	Q96BY7	0.152184	NA	0.28941
ATG3	Q9NT62	-0.677706	+	5.3472200000000001
ATG4B	Q9Y4P1	-0.456247	+	2.1026699999999998
ATG4C	Q96DT6	-0.342954	NA	0.59650599999999998
ATG5	Q9H1Y0	-0.255057	+	2.7279800000000001
