gene_name	UNIPROT	difference	significant	logpval
ACO2	Q99798	0.325821	+	3.65218
ACOT11	Q8WXI4	0	NA	NaN
ACOT13	Q9NPJ3	0.80172	+	2.27962
ACOT7	O00154	-0.323047	+	3.37974
ACOT8	O14734	-0.18408	NA	0.46729300000000001
ACOT9	Q9Y305	0.642001	+	5.9759700000000002
ACOX1	Q15067	-0.470717	+	3.5129899999999998
ACOX3	O15254	0.454802	NA	0.55289200000000005
ACP1	P24666	0.100561	NA	0.65296100000000001
ACP2	P11117	0.583172	+	3.2687499999999998
ACSF2	Q96CM8	0.996155	+	3.6381999999999999
ACSF3	Q4G176	0.863424	+	4.8583499999999997
ACSL1	P33121	0.207143	NA	0.63821399999999995
ACSL3	O95573	-0.0826173	NA	0.51280700000000001
ACSL4	O60488	-0.376703	+	2.2087599999999998
ACSL5	Q9ULC5	0	NA	NaN
ACSL6	Q9UKU0	0.432587	NA	0.53448200000000001
ACSM3	Q53FZ2	1.06626	+	5.4390200000000002
ACSS2	Q9NR19	0.216281	NA	2.32145
ACTB	P60709	0	NA	NaN
ACTBL2	Q562R1	0.181123	NA	1.3355999999999999
ACTL6A	O96019	-0.0460434	NA	0.35581000000000002
ACTN1	P12814	0.0673466	NA	0.97853500000000004
ACTN4	O43707	-0.125175	NA	1.28257
ACTR10	Q9NZ32	-0.123817	NA	1.3831599999999999
ACTR1A	P61163	0.152817	NA	1.07911
ACTR1B	P42025	0.156872	NA	0.76549100000000003
ACTR2	P61160	0.0419297	NA	0.26950000000000002
ACTR3	P61158	-0.00629377	NA	4.2117099999999998E-2
ACTR3B	Q9P1U1	0	NA	NaN
ACTR5	Q9H9F9	-0.364626	NA	1.3065500000000001
ACTR6	Q9GZN1	-0.00705004	NA	1.49503E-2
ACTR8	Q9H981	-0.422791	+	1.39801
ACVR1	Q04771	0.284869	NA	1.04033
ACY1	Q03154	0.470054	+	2.21
ACYP1	P07311	0.271975	NA	1.4441299999999999
ACYP2	P14621	0.398615	NA	0.44041999999999998
ADA	P00813	0.629318	+	1.04545
ADAL	Q6DHV7	0.306864	NA	1.1129
ADAM10	O14672	-0.176721	NA	1.52182
ADAM15	Q13444	0.330968	NA	0.20197599999999999
ADAM17	P78536	-0.825965	+	1.8182400000000001
ADAM19	Q9H013	2.34601	+	1.0236400000000001
ADAM9	Q13443	-0.365767	NA	0.64100800000000002
ADAMTSL4	Q6UY14	1.33682	+	2.56881
ADAP1	O75689	0	NA	NaN
ADAR	P55265	0.160273	NA	2.1651899999999999
ADAT1	Q9BUB4	0.030019	NA	3.0886199999999999E-2
ADAT2	Q7Z6V5	-0.0427017	NA	8.7488099999999999E-2
ADAT3	Q96EY9	-0.121059	NA	0.15001999999999999
ADCK1	Q86TW2	0.414811	NA	0.329592
ADD1	P35611	0.567554	+	3.7932899999999998
ADD2	P35612	1.44325	+	8.0224200000000003
ADD3	Q9UEY8	0.050818	NA	0.44944099999999998
ADGB	Q8N7X0	0.145157	NA	0.38516800000000001
ADGRE5	P48960	-0.703242	+	3.4434900000000002
ADGRF1	Q5T601	0.249182	NA	0.29130099999999998
ADGRG1	Q9Y653	2.23758	+	1.17361
ADGRL2	O95490	0	NA	NaN
ADH5	P11766	0.16478	NA	1.38693
ADH7	P40394	0.425935	NA	0.38919700000000002
ADI1	Q9BV57	-0.0565209	NA	0.22570499999999999
ADK	P55263	0.126242	NA	1.73543
ADNP	Q9H2P0	0.105037	NA	0.42214099999999999
ADNP2	Q6IQ32	-0.0056591	NA	4.0615399999999998E-3
ADO	Q96SZ5	-0.0642443	NA	0.23153499999999999
ADPGK	Q9BRR6	-0.243839	NA	1.45048
ADPRH	P54922	0	NA	NaN
ADRM1	Q16186	-0.360602	+	2.4469599999999998
ADSL	P30566	0.0438337	NA	0.28162300000000001
AEBP2	Q6ZN18	-2.03021	+	1.1856500000000001
AEN	Q8WTP8	0	NA	NaN
AFF1	P51825	-0.421061	+	2.33236
AFF3	P51826	0	NA	NaN
AFF4	Q9UHB7	-0.397496	NA	1.2839499999999999
AFG3L2	Q9Y4W6	0.432281	+	3.39697
AFP	P02771	0.491405	NA	0.96724900000000003
AFTPH	Q6ULP2	-0.494179	+	1.3298399999999999
AGA	P20933	0.642988	+	3.35107
AGAP1	Q9UPQ3	0.22759	NA	1.0065900000000001
AGAP2	Q99490	0	NA	NaN
AGAP3	Q96P47	-0.160755	NA	1.0727
AGFG1	P52594	0.272806	NA	1.3208
AGFG2	O95081	0.197862	NA	0.675454
AGGF1	Q8N302	0.110203	NA	5.74063E-2
AGK	Q53H12	0.288038	+	3.0722200000000002
AGL	P35573	0.310292	+	3.6371099999999998
AGO1	Q9UL18	0.394413	+	2.9028399999999999
AGO2	Q9UKV8	0.155843	NA	1.8105100000000001
AGO3	Q9H9G7	0.347094	NA	0.72911700000000002
AGPAT1	Q99943	0.417557	+	2.0470299999999999
AGPAT2	O15120	-0.143051	NA	0.42236600000000002
AGPAT3	Q9NRZ7	0.274509	NA	1.15516
AGPAT5	Q9NUQ2	0.0959177	NA	0.44748199999999999
AGPS	O00116	-0.537544	+	5.1642299999999999
AGRN	O00468	1.50497	+	3.8212700000000002
AGTRAP	Q6RW13	-0.118577	NA	0.55190399999999995
AHCTF1	Q8WYP5	-0.261083	+	2.5574499999999998
AHCY	P23526	-0.0965409	NA	1.9401200000000001
AHCYL1	O43865	-0.0267005	NA	6.4073400000000003E-2
AHCYL2	Q96HN2	0.0828032	NA	0.16316700000000001
AHDC1	Q5TGY3	-0.328208	NA	0.88751899999999995
AHNAK	Q09666	0.110305	NA	0.533941
AHSA1	O95433	-0.427895	+	3.9369800000000001
AHSG	P02765	-0.158021	NA	0.16220200000000001
AIDA	Q96BJ3	0.672894	+	2.6441400000000002
AIFM1	O95831	0.415753	+	6.6564399999999999
AIFM2	Q9BRQ8	0.0786796	NA	0.39633600000000002
AIG1	Q9NVV5	0.352933	NA	0.44965699999999997
AIMP1	Q12904	-0.0806231	NA	0.91260799999999997
AIMP2	Q13155	-0.267861	+	2.1246800000000001
AIP	O00170	-0.263385	+	4.2169600000000003
AK1	P00568	0.535468	+	6.4617500000000003
AK2	P54819	0.300146	+	3.2985899999999999
AK3	Q9UIJ7	0.656169	+	5.4711499999999997
AK4	P27144	0.619946	+	2.6204399999999999
AK6	Q9Y3D8	0.220728	NA	0.859487
AKAP1	Q92667	-0.538	+	2.66771
AKAP10	O43572	-1.06102	+	1.0554399999999999
AKAP11	Q9UKA4	-1.77579	+	1.80375
AKAP13	Q12802	0	NA	NaN
AKAP17A	Q02040	0.0251966	NA	0.21046899999999999
AKAP8	O43823	0.0604668	NA	0.238985
AKAP8L	Q9ULX6	0.0607576	NA	0.39901199999999998
AKAP9	Q99996	0.278777	NA	1.00939
AKR1A1	P14550	0.539647	+	4.7490100000000002
AKR1B1	P15121	-0.0530953	NA	9.0025900000000006E-2
AKR1B10	O60218	1.34735	NA	0.72673699999999997
AKR1C2	P52895	0.988759	+	2.1929699999999999
AKR1C3	P42330	0.027874	NA	3.7600799999999997E-2
AKR1E2	Q96JD6	0.616892	+	2.7318899999999999
AKR7A2	O43488	0.55479	+	2.95906
AKT1	P31749	0.225332	NA	1.70696
AKT1S1	Q96B36	-0.38182	NA	0.536215
AKT2	P31751	0.173488	NA	0.88201700000000005
ALAD	P13716	0.923485	+	4.0813300000000003
ALAS1	P13196	0	NA	NaN
ALAS2	P22557	1.39706	+	2.9944099999999998
ALB	P02768	-0.119607	NA	0.157439
ALDH16A1	Q8IZ83	0.0980411	NA	0.87204700000000002
ALDH18A1	P54886	-0.0360212	NA	0.70810200000000001
ALDH1A1	P00352	1.21621	+	7.09924
ALDH1A2	O94788	-0.16076	NA	2.0864500000000001
ALDH1B1	P30837	0.401785	+	4.1368200000000002
ALDH1L1	O75891	-0.148861	NA	6.0563400000000003E-2
ALDH1L2	Q3SY69	0.689073	+	3.6846800000000002
ALDH2	P05091	0.365158	+	3.1377600000000001
ALDH3A2	P51648	0	NA	NaN
ALDH4A1	P30038	0.505619	+	5.6847099999999999
ALDH5A1	P51649	0.719561	+	4.7237400000000003
ALDH6A1	Q02252	1.24203	+	6.53254
ALDH7A1	P49419	0	NA	NaN
ALDH9A1	P49189	0.259003	+	2.2299699999999998
ALDOA	P04075	-0.170686	NA	1.29613
ALDOC	P09972	0.486439	NA	1.05582
ALG1	Q9BT22	-0.363249	NA	0.76278999999999997
ALG11	Q2TAA5	-0.205279	NA	0.20700499999999999
ALG13	Q9NP73	-0.47261	+	1.40703
ALG2	Q9H553	-0.466363	+	1.4987299999999999
ALG3	Q92685	-0.643771	+	1.4347700000000001
ALG5	Q9Y673	-0.369699	NA	1.14838
ALG6	Q9Y672	0.150272	NA	0.38062800000000002
ALG8	Q9BVK2	-0.426377	NA	0.95230999999999999
ALG9	Q9H6U8	-0.152396	NA	0.366838
ALKBH1	Q13686	-0.138995	NA	0.439641
ALKBH2	Q6NS38	-1.20155	+	2.37418
ALKBH3	Q96Q83	-0.85029	NA	0.86273900000000003
ALKBH4	Q9NXW9	-0.0441685	NA	0.128557
ALKBH5	Q6P6C2	0.141873	NA	0.47884399999999999
ALKBH6	Q3KRA9	-0.0355287	NA	8.8845800000000003E-2
ALKBH7	Q9BT30	-0.914042	+	4.2539699999999998
ALKBH8	Q96BT7	-0.0907478	NA	5.5979000000000001E-2
ALOX5	P09917	1.59069	+	2.0666699999999998
ALOX5AP	P20292	-0.813768	NA	0.366367
ALS2	Q96Q42	0.783563	+	2.5531999999999999
ALYREF	Q86V81	-0.343975	NA	0.65058800000000006
AMBRA1	Q9C0C7	-0.657591	+	2.2673800000000002
AMD1	P17707	-1.82328	+	2.75319
AMDHD2	Q9Y303	1.01052	+	3.1394799999999998
AMER2	Q8N7J2	0	NA	NaN
AMFR	Q9UKV5	-0.0928988	NA	0.49089700000000003
AMMECR1	Q9Y4X0	0.18421	NA	0.66067100000000001
AMMECR1L	Q6DCA0	-1.22409	+	0.97846299999999997
AMOTL1	Q8IY63	0.488296	NA	0.30096200000000001
AMPD2	Q01433	-0.271485	+	2.4410099999999999
AMPD3	Q01432	0.409222	+	2.2113100000000001
AMZ2	Q86W34	-0.179977	NA	0.53227899999999995
ANAPC1	Q9H1A4	-0.0899558	NA	0.75325299999999995
ANAPC10	Q9UM13	-0.34146	NA	0.71433100000000005
ANAPC11	Q9NYG5	0.28179	NA	0.60933499999999996
ANAPC16	Q96DE5	-0.270572	NA	0.90378700000000001
ANAPC2	Q9UJX6	0.0905056	NA	0.54333600000000004
ANAPC4	Q9UJX5	0.0175805	NA	3.5270799999999998E-2
ANAPC5	Q9UJX4	-0.116133	NA	0.539524
ANAPC7	Q9UJX3	-0.294007	+	3.7004199999999998
ANGEL2	Q5VTE6	0.478401	NA	0.58922200000000002
ANGPT1	Q15389	0.315949	NA	0.51935699999999996
ANGPTL2	Q9UKU9	0	NA	NaN
ANK1	P16157	0.22547	+	5.5147399999999998
ANK3	Q12955	0.530705	+	2.81704
ANKFY1	Q9P2R3	0.329545	+	2.6606399999999999
ANKHD1	Q8IWZ3	-0.391384	+	3.2912499999999998
ANKLE2	Q86XL3	-0.408823	+	2.5309900000000001
ANKMY2	Q8IV38	-0.10393	NA	0.38143300000000002
ANKRD13A	Q8IZ07	0.234639	NA	0.77540200000000004
ANKRD16	Q6P6B7	-0.110239	NA	0.38219799999999998
ANKRD17	O75179	-0.633193	+	6.0070699999999997
ANKRD27	Q96NW4	0.425097	+	3.5867900000000001
ANKRD28	O15084	0.0817356	NA	1.8215300000000001
ANKRD44	Q8N8A2	-0.00586247	NA	3.2547700000000001E-3
ANKRD46	Q86W74	-0.0065546	NA	3.4786700000000001E-3
ANKRD49	Q8WVL7	0.906181	+	2.0771999999999999
ANKRD52	Q8NB46	-1.13112	+	4.8494299999999999
ANKRD54	Q6NXT1	0.510791	NA	0.90330500000000002
ANKS1A	Q92625	-0.0220613	NA	7.9947400000000002E-2
ANKS1B	Q7Z6G8	-0.372714	NA	0.180953
ANKZF1	Q9H8Y5	0.147834	NA	0.470694
ANLN	Q9NQW6	-1.38244	+	5.3121499999999999
ANO10	Q9NW15	0.417549	+	1.92248
ANO6	Q4KMQ2	0.178404	NA	0.84807500000000002
ANP32A	P39687	0.0405245	NA	0.122294
ANP32B	Q92688	0.457725	+	1.6996
ANP32E	Q9BTT0	0.203455	NA	1.51675
ANPEP	P15144	1.7709	+	2.4874999999999998
ANTXR2	P58335	-0.0417223	NA	0.13489799999999999
ANXA1	P04083	0.377085	+	3.8881899999999998
ANXA11	P50995	0.3673	+	5.7703300000000004
ANXA2	P07355	0.308726	NA	1.43425
ANXA3	P12429	0.450948	+	4.8613900000000001
ANXA4	P09525	0.778832	+	4.90313
ANXA5	P08758	0.616218	+	3.4747699999999999
ANXA6	P08133	0.323566	+	2.5043700000000002
ANXA7	P20073	0.0916986	NA	1.11731
AP1AR	Q63HQ0	-0.821254	NA	0.66998800000000003
AP1B1	Q10567	0.119164	NA	1.0929500000000001
AP1G1	O43747	-0.245409	NA	1.1861299999999999
AP1G2	O75843	0.0565367	NA	0.13322500000000001
AP1M1	Q9BXS5	-0.0286059	NA	0.29822100000000001
AP1S1	P61966	-0.0811119	NA	0.38095299999999999
AP1S2	P56377	-0.13175	NA	0.78707700000000003
AP2A1	O95782	0.230667	NA	2.2351100000000002
AP2A2	O94973	0.194409	NA	1.8178099999999999
AP2B1	P63010	-0.00148058	NA	6.7273100000000002E-3
AP2M1	Q96CW1	0.131979	NA	1.7325600000000001
AP2S1	P53680	0.133571	NA	0.64777300000000004
AP3B1	O00203	-0.111164	NA	0.75595599999999996
AP3D1	O14617	0.0264211	NA	0.21001800000000001
AP3M1	Q9Y2T2	-0.097899	NA	0.86643599999999998
AP3M2	P53677	0.25992	NA	0.24861800000000001
AP3S1	Q92572	0.282778	NA	1.1679299999999999
AP3S2	P59780	-0.73239	NA	0.5333
AP4B1	Q9Y6B7	-0.162796	NA	0.19763900000000001
AP4M1	O00189	0.217559	NA	0.82436200000000004
AP4S1	Q9Y587	0.61184	+	1.2227699999999999
AP5B1	Q2VPB7	-0.391526	NA	1.0744
AP5S1	Q9NUS5	0.558051	NA	0.750919
AP5Z1	O43299	0.302598	NA	1.2896399999999999
APAF1	O14727	0.173146	NA	0.384606
APBB1IP	Q7Z5R6	3.01098	+	1.1720900000000001
APBB2	Q92870	0.562508	NA	0.33266099999999998
APC	P25054	-0.484711	NA	0.73133499999999996
APEH	P13798	0.0942564	NA	1.79332
APEX1	P27695	0.196137	NA	1.2114799999999999
APH1A	Q96BI3	-0.320844	NA	0.84017900000000001
API5	Q9BZZ5	0.158793	NA	1.6760600000000001
APIP	Q96GX9	0.195261	NA	0.52648300000000003
APLP2	Q06481	0.123386	NA	0.67884199999999995
APMAP	Q9HDC9	0.0586848	NA	0.20555799999999999
APOA1	P02647	-0.0725474	NA	7.8364500000000004E-2
APOB	P04114	-1.83204	+	4.6825299999999999
APOBEC3B	Q9UH17	-0.229485	NA	1.3418000000000001
APOBEC3C	Q9NRW3	0.246493	NA	1.0319499999999999
APOBEC3G	Q9HC16	0.115811	NA	0.11282499999999999
APOBR	Q0VD83	-0.41321600000000003	+	3.5370699999999999
APOE	P02649	1.5635	+	6.64527
APOL2	Q9BQE5	-0.955665	+	1.8728199999999999
APOO	Q9BUR5	0.275849	+	2.8413300000000001
APOOL	Q6UXV4	0.470412	+	3.4209900000000002
APPL1	Q9UKG1	0.310845	NA	1.1326799999999999
APPL2	Q8NEU8	1.04033	+	1.2263500000000001
APRT	P07741	0.117698	NA	0.99589300000000003
APTX	Q7Z2E3	-0.317758	NA	1.1783999999999999
AQR	O60306	-0.42931	+	3.6367600000000002
ARAF	P10398	-0.28284	NA	0.99718899999999999
ARAP1	Q96P48	0.00335073	NA	2.3142699999999999E-2
ARAP3	Q8WWN8	-0.189183	NA	0.78335500000000002
ARCN1	P48444	-0.153671	NA	2.5177499999999999
ARF1	P84077	-1.44887	NA	0.51903100000000002
ARF4	P18085	-0.095696	NA	0.42418899999999998
ARF5	P84085	-0.0862646	NA	0.30021100000000001
ARF6	P62330	-0.121291	NA	0.54600899999999997
ARFGAP1	Q8N6T3	-0.251539	NA	1.63489
ARFGAP2	Q8N6H7	-0.249255	+	2.7922699999999998
ARFGAP3	Q9NP61	-0.342885	+	2.08901
ARFGEF1	Q9Y6D6	-0.050972	NA	0.14887600000000001
ARFGEF2	Q9Y6D5	0.078587099999999993	NA	0.135549
ARFIP1	P53367	-0.308085	+	1.6442000000000001
ARFIP2	P53365	0.118899	NA	0.19587099999999999
ARFRP1	Q13795	-0.827605	NA	0.62619100000000005
ARG2	P78540	0.0714078	NA	0.54671499999999995
ARGLU1	Q9NWB6	0.0353956	NA	6.9860500000000006E-2
ARHGAP1	Q07960	0.115944	NA	1.68835
ARHGAP10	A1A4S6	0	NA	NaN
ARHGAP11A	Q6P4F7	0.077435	NA	7.9955999999999999E-2
ARHGAP12	Q8IWW6	-0.394638	NA	0.46676899999999999
ARHGAP15	Q53QZ3	-0.697186	+	1.3310299999999999
ARHGAP17	Q68EM7	0.112826	NA	0.64928799999999998
ARHGAP18	Q8N392	0.0682521	NA	0.23005
ARHGAP21	Q5T5U3	-0.0591118	NA	6.5663200000000005E-2
ARHGAP25	P42331	-0.592929	+	2.2065100000000002
ARHGAP26	Q9UNA1	0	NA	NaN
ARHGAP30	Q7Z6I6	0	NA	NaN
ARHGAP4	P98171	0.183813	NA	1.4955499999999999
ARHGAP5	Q13017	-1.40218	+	0.97258999999999995
ARHGAP6	O43182	-0.450332	+	2.9283399999999999
ARHGAP9	Q9BRR9	0.337222	NA	0.154057
ARHGDIA	P52565	-0.023921	NA	6.5523999999999999E-2
ARHGDIB	P52566	0.0815635	NA	0.28827799999999998
ARHGEF1	Q92888	-0.0525198	NA	0.70652899999999996
ARHGEF11	O15085	-0.0779343	NA	0.28989700000000002
ARHGEF12	Q9NZN5	0.0338922	NA	9.0325900000000001E-2
ARHGEF18	Q6ZSZ5	-0.365343	NA	0.358989
ARHGEF2	Q92974	-0.594708	+	6.03064
ARHGEF40	Q8TER5	-0.616683	NA	0.43747200000000003
ARHGEF6	Q15052	-0.878518	+	1.76613
ARHGEF7	Q14155	0.357115	NA	1.34761
ARID1A	O14497	0.0958905	NA	0.56963399999999997
ARID1B	Q8NFD5	0.440963	+	2.41256
ARID2	Q68CP9	-0.0251379	NA	0.17619699999999999
ARID3A	Q99856	0.434772	+	2.89527
ARID3B	Q8IVW6	0.280322	NA	1.21851
ARID4B	Q4LE39	-0.307645	NA	1.48892
ARIH1	Q9Y4X5	-0.00564861	NA	1.5861299999999998E-2
ARIH2	O95376	0.126793	NA	0.75805800000000001
ARL1	P40616	-0.199614	NA	1.4741
ARL14EP	Q8N8R7	-0.209238	NA	0.19336400000000001
ARL15	Q9NXU5	-0.285927	NA	1.33745
ARL2	P36404	0.0941329	NA	0.90953899999999999
ARL2BP	Q9Y2Y0	0.05832	NA	0.10952000000000001
ARL3	P36405	0.196554	NA	1.1524399999999999
ARL5A	Q9Y689	-0.466633	NA	0.48053899999999999
ARL6	Q9H0F7	0	NA	NaN
ARL6IP1	Q15041	-0.0803018	NA	0.123295
ARL6IP4	Q66PJ3	0.0997324	NA	2.6841499999999998
ARL6IP5	O75915	0.713773	+	3.2971599999999999
ARL6IP6	Q8N6S5	0.317687	NA	1.5478700000000001
ARL8A	Q96BM9	0.115986	NA	0.75705100000000003
ARL8B	Q9NVJ2	0.230904	+	2.7816399999999999
ARMC1	Q9NVT9	-0.0298686	NA	0.144506
ARMC10	Q8N2F6	0.334382	+	2.0007100000000002
ARMC6	Q6NXE6	-0.377835	+	2.8243399999999999
ARMC8	Q8IUR7	0.164099	NA	1.16882
ARMCX3	Q9UH62	0.427937	+	2.6162299999999998
ARMT1	Q9H993	0.0137224	NA	5.4579000000000003E-2
ARNT	P27540	0.350545	+	1.78382
ARPC1A	Q92747	-0.65434	NA	0.17207500000000001
ARPC1B	O15143	-0.0718641	NA	0.59506899999999996
ARPC2	O15144	0.00456715	NA	3.4668200000000003E-2
ARPC3	O15145	0.0476446	NA	0.17877799999999999
ARPC5	O15511	-0.0774331	NA	0.34705599999999998
ARPC5L	Q9BPX5	-0.327909	+	2.9981800000000001
ARPP19	P56211	0	NA	NaN
ARR3	P36575	-0.208014	NA	0.91292200000000001
ARRB1	P49407	-0.174558	NA	1.06582
ARRB2	P32121	-0.369962	NA	0.25658500000000001
ARRDC1	Q8N5I2	0.335449	NA	0.96200799999999997
ARSA	P15289	0.764421	+	3.2122600000000001
ARSB	P15848	0.553152	NA	0.45675100000000002
ARV1	Q9H2C2	0.620086	+	1.50308
ARVCF	O00192	2.13654	+	5.7349500000000004
ASAH1	Q13510	1.1594	+	6.4256200000000003
ASAP1	Q9ULH1	0.752392	+	2.8698399999999999
ASAP3	Q8TDY4	-0.188123	NA	0.104162
ASB6	Q9NWX5	0.281925	NA	0.31406499999999998
ASCC1	Q8N9N2	-0.39002	+	2.5773100000000002
ASCC2	Q9H1I8	-0.277558	NA	1.54504
ASCC3	Q8N3C0	-0.299771	+	2.0200300000000002
ASF1A	Q9Y294	0.296095	+	3.0325600000000001
ASF1B	Q9NVP2	0.198938	NA	1.61785
ASH2L	Q9UBL3	0.131413	NA	1.45764
ASL	P04424	0.303182	+	2.7296200000000002
ASMTL	O95671	0.224772	NA	0.84919299999999998
ASNS	P08243	-0.491927	+	4.3893399999999998
ASPH	Q12797	0.148633	NA	1.4874799999999999
ASPM	Q8IZT6	-1.06543	+	4.5366299999999997
ASPSCR1	Q9BZE9	0.374741	+	3.1754099999999998
ASRGL1	Q7L266	1.30471	+	2.1482000000000001
ASS1	P00966	0.590279	+	1.94709
ASXL1	Q8IXJ9	0	NA	NaN
ASXL2	Q76L83	0.132466	NA	0.27218700000000001
ATAD1	Q8NBU5	-0.388124	+	3.8193199999999998
ATAD2	Q6PL18	-0.730034	+	5.8425099999999999
ATAD2B	Q9ULI0	0.0304174	NA	0.15842700000000001
ATAD3A	Q9NVI7	0.262339	+	2.5205099999999998
ATAD3B	Q5T9A4	-0.298978	NA	0.71774499999999997
ATAD5	Q96QE3	-0.829468	+	2.4434900000000002
ATE1	O95260	0.144001	NA	0.26205099999999998
ATF2	P15336	-0.786675	NA	0.73811499999999997
ATF6B	Q99941	-0.495603	+	2.0779200000000002
ATF7	P17544	-0.574769	+	1.22098
ATF7IP	Q6VMQ6	-0.0320148	NA	7.8003699999999995E-2
ATG101	Q9BSB4	-0.0333414	NA	9.3834500000000001E-2
ATG13	O75143	0.0700049	NA	0.141094
ATG16L1	Q676U5	-0.597205	+	1.4222399999999999
ATG2A	Q2TAZ0	-0.352525	NA	1.1117300000000001
ATG2B	Q96BY7	0.90086	NA	0.50414499999999995
ATG3	Q9NT62	-0.201106	NA	1.42798
ATG4A	Q8WYN0	0.0964355	NA	0.16509799999999999
ATG4B	Q9Y4P1	-0.174084	NA	0.45133600000000001
ATG4C	Q96DT6	0.279835	NA	0.85401000000000005
ATG5	Q9H1Y0	-0.535006	+	2.3955899999999999
ATG7	O95352	0.175581	NA	1.37537
ATG9A	Q7Z3C6	-0.041503	NA	0.19457199999999999
ATIC	P31939	0.00992393	NA	0.196163
ATL2	Q8NHH9	-0.650175	+	4.3765700000000001
ATL3	Q6DD88	-0.370685	+	2.88836
ATM	Q13315	0.888175	+	1.95069
ATN1	P54259	-0.0755301	NA	9.4058000000000003E-2
ATOX1	O00244	0.494105	NA	0.719916
ATP11A	P98196	0	NA	NaN
ATP11B	Q9Y2G3	0.252717	NA	0.79786500000000005
ATP11C	Q8NB49	0.509164	+	2.0291399999999999
ATP13A1	Q9HD20	-0.243392	NA	1.61165
ATP13A3	Q9H7F0	-0.124573	NA	0.12784300000000001
ATP1A1	P05023	-0.143551	NA	0.86003300000000005
ATP1A2	P50993	-1.1503	NA	0.65004600000000001
ATP1A3	P13637	0	NA	NaN
ATP1B1	P05026	-1.09591	+	1.63809
ATP1B3	P54709	-0.00196695	NA	1.9488999999999999E-2
ATP2A2	P16615	-0.35544	+	2.1489699999999998
ATP2A3	Q93084	5.53131e-4	NA	3.2687599999999999E-3
ATP2B1	P20020	0.00605774	NA	1.47942E-2
ATP2B4	P23634	0.378781	+	2.0128300000000001
